Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Curly Armstrong,G,1.8034,77.1107029,31,FWP,63,1,United States,NBA 1949-1950 Players Information
Cliff Barker,G,1.8796,83.91458845000001,29,IND,46,0,United States,NBA 1949-1950 Players Information
Leo Barnhorst,SF,1.9304,86.1825503,25,CHI,67,0,United States,NBA 1949-1950 Players Information
Ed Bartels,GF,1.9558,88.45051215000001,24,"DEN, NYK",15,0,United States,NBA 1949-1950 Players Information
Ralph Beard,G,1.778,79.37866475,22,IND,60,0,United States,NBA 1949-1950 Players Information
Gene Berce,G,1.8034,79.37866475,23,TCB,3,0,United States,NBA 1949-1950 Players Information
Charlie Black,FC,1.9558,90.718474,28,"AND, FWP",65,1,United States,NBA 1949-1950 Players Information
Nelson Bobb,G,1.8288,77.1107029,26,PHI,52,0,United States,NBA 1949-1950 Players Information
Jake Bornheimer,F,1.9558,90.718474,22,PHI,58,1,United States,NBA 1949-1950 Players Information
Vince Boryla,SF,1.9558,95.2543977,22,NYK,59,0,United States,NBA 1949-1950 Players Information
Don Boven,GF,1.9304,95.2543977,24,WAT,62,0,United States,NBA 1949-1950 Players Information
Harry Boykoff,C,2.0827999999999998,102.05828325,27,WAT,61,0,United States,NBA 1949-1950 Players Information
Joe Bradley,G,1.905,79.37866475,21,CHI,43,0,United States,NBA 1949-1950 Players Information
Bob Brannum,FC,1.9558,97.52235955,24,SRS,59,0,United States,NBA 1949-1950 Players Information
Carl Braun,SG,1.9558,81.6466266,22,NYK,67,2,United States,NBA 1949-1950 Players Information
Frankie Brian,G,1.8541999999999998,81.6466266,26,AND,64,0,United States,NBA 1949-1950 Players Information
Price Brookfield,GF,1.9304,83.91458845000001,29,ROR,6,1,United States,NBA 1949-1950 Players Information
Bob Brown,GF,1.9304,92.98643585,26,DEN,62,1,United States,NBA 1949-1950 Players Information
Jim Browne,C,2.0827999999999998,106.59420695,20,DEN,30,1,United States,NBA 1949-1950 Players Information
Walt Budko,GF,1.9558,99.79032140000001,24,BAL,65,1,United States,NBA 1949-1950 Players Information
Jack Burmaster,GF,1.905,86.1825503,23,SRS,61,0,United States,NBA 1949-1950 Players Information
Tommy Byrnes,GF,1.905,79.37866475,27,BAL,51,3,United States,NBA 1949-1950 Players Information
Bill Calhoun,GF,1.905,81.6466266,22,ROR,61,1,United States,NBA 1949-1950 Players Information
Don Carlson,G,1.8288,77.1107029,30,MIN,55,2,United States,NBA 1949-1950 Players Information
Bob Carpenter,FC,1.9558,90.718474,32,FWP,64,0,United States,NBA 1949-1950 Players Information
Jake Carter,G,1.9304,88.45051215000001,25,"AND, DEN",24,0,United States,NBA 1949-1950 Players Information
Al Cervi,PG,1.8034,77.1107029,33,SYR,56,0,United States,NBA 1949-1950 Players Information
John Chaney,FC,1.905,83.91458845000001,30,"SRS, TCB",15,0,United States,NBA 1949-1950 Players Information
Leroy Chollet,G,1.8796,86.1825503,24,SYR,46,0,United States,NBA 1949-1950 Players Information
Bill Closs,F,1.9558,88.45051215000001,28,AND,64,0,United States,NBA 1949-1950 Players Information
Paul Cloyd,G,1.8796,82.10021897,29,"BAL, WAT",6,0,United States,NBA 1949-1950 Players Information
Jack Coleman,PF,2.0065999999999997,88.45051215000001,25,ROR,67,0,United States,NBA 1949-1950 Players Information
Bobby Cook,G,1.8288,70.30681735,26,SRS,49,0,United States,NBA 1949-1950 Players Information
Ray Corley,G,1.8288,81.6466266,22,SYR,59,0,United States,NBA 1949-1950 Players Information
Jack Cotton,FC,2.0065999999999997,90.718474,25,DEN,54,0,United States,NBA 1949-1950 Players Information
Dillard Crocker,GF,1.9304,92.98643585,25,DEN,54,1,United States,NBA 1949-1950 Players Information
Chink Crossin,G,1.8541999999999998,74.84274105,25,PHI,60,2,United States,NBA 1949-1950 Players Information
Fran Curran,G,1.8288,79.37866475,24,ROR,66,1,United States,NBA 1949-1950 Players Information
Jimmy Darden,G,1.8541999999999998,77.1107029,27,DEN,24,0,United States,NBA 1949-1950 Players Information
Bob Davies,G,1.8541999999999998,79.37866475,30,ROR,64,1,United States,NBA 1949-1950 Players Information
