Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Paul Arizin,GF,6-4,190,23,PHI,66,1,Villanova,1950 Rnd 1 Pick 3,United States,NBA 1951-1952 Players Information
Cliff Barker,G,6-2,185,31,IND,44,2,Kentucky,1949 Rnd 5 Pick 8,United States,NBA 1951-1952 Players Information
Don Barksdale,F,6-6,200,28,BAL,62,0,," NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Leo Barnhorst,SF,6-4,190,27,IND,66,2,Notre Dame,1949 Rnd 2 Pick 2,United States,NBA 1951-1952 Players Information
Elmer Behnke,F,6-7,210,23,MIL,4,0,Bradley,1951 Rnd 4 Pick 8,United States,NBA 1951-1952 Players Information
Charlie Black,FC,6-5,200,30,MIL,13,2,Kansas,"1948 NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Nelson Bobb,G,6-0,170,28,PHI,61,2,Temple,1949 Rnd 3 Pick 6,United States,NBA 1951-1952 Players Information
Vince Boryla,SF,6-5,210,24,NYK,42,2,Denver,"1949 NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Don Boven,GF,6-4,210,26,MIL,66,1,Western Michigan,1949 Rnd 6 Pick 2,United States,NBA 1951-1952 Players Information
Bob Brannum,FC,6-5,215,26,BOS,66,1,Michigan State,"1948 NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Frankie Brian,G,6-1,180,28,FWP,66,2,," NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Stan Brown,GF,6-3,200,22,PHI,16,1, ,"1947 NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Walt Budko,GF,6-5,220,26,PHI,64,3,Columbia,1948 Rnd 1 Pick 6,United States,NBA 1951-1952 Players Information
Art Burris,GF,6-5,220,27,"FWP, MIL",42,1,Tennessee,1950 Rnd 3 Pick 8,United States,NBA 1951-1952 Players Information
Gerry Calabrese,SG,6-1,175,27,SYR,58,1,St. John's,1950 Rnd 2 Pick 12,United States,NBA 1951-1952 Players Information
Bill Calhoun,GF,6-3,180,24,BAL,55,3,City College of San Francisco,"1947 NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Al Cervi,PG,5-11,170,35,SYR,55,2,," NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Cal Christensen,F,6-5,210,24,MIL,24,1,Toledo,1950 Rnd 5 Pick 4,United States,NBA 1951-1952 Players Information
Nat Clifton,PF,6-6,220,29,NYK,62,1,," NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Bill Closs,F,6-5,195,30,FWP,57,2,Rice,"1949 NBA Draft, Undrafted",United States,NBA 1951-1952 Players Information
Jack Coleman,PF,6-7,195,27,ROR,66,2,Louisville,1948 Rnd 3 Pick 1,United States,NBA 1951-1952 Players Information
Chuck Cooper,GF,6-5,210,25,BOS,66,1,Duquesne,1950 Rnd 2 Pick 1,United States,NBA 1951-1952 Players Information
